name,color
EECS,"rgba(255, 255, 255, 0.701961)"
Math,"rgba(9, 201, 255,0.7)"
Physics,"rgba(9, 201, 255,0.7)"
Materials Science and Engineering,"rgba(255, 255, 255, 0.701961)"
Biological Engineering,"rgba(255, 255, 255, 0.701961)"
Mechanical Engineering,"rgba(255, 255, 255, 0.701961)"
School of Engineering,"rgba(255, 255, 255, 0.701961)"
Chemical Engineering,"rgba(255, 255, 255, 0.701961)"
Comparative Media Studies,"rgba(135, 56, 233,0.7)"
Health Sciences and Technology,"rgba(236, 80, 183,0.7)"
Civil and Environmental Engineering,"rgba(255, 255, 255, 0.701961)"
"Earth, Atmospheric, and Planetary Sciences","rgba(9, 201, 255,0.7)"
Biology,"rgba(9, 201, 255,0.7)"
Brain and Cognitive Sciences,"rgba(9, 201, 255,0.7)"
Aeronautics and Astronautics,"rgba(255, 255, 255, 0.701961)"
Linguistics and Philosophy,"rgba(135, 56, 233,0.7)"
Chemistry,"rgba(9, 201, 255,0.7)"
Media Arts and Sciences,"rgba(118, 249, 239,0.7)"
Urban Studies and Planning,"rgba(118, 249, 239,0.7)"
Nuclear Science and Engineering,"rgba(255, 255, 255, 0.701961)"
"Science, Technology and Society","rgba(135, 56, 233,0.7)"
Humanities,"rgba(135, 56, 233,0.7)"
Music and Theater Arts,"rgba(135, 56, 233,0.7)"
Economics,"rgba(135, 56, 233,0.7)"
"School of Humanities, Arts, and Social Sciences","rgba(135, 56, 233,0.7)"
History,"rgba(135, 56, 233,0.7)"
Anthropology Program,"rgba(135, 56, 233,0.7)"
Literature,"rgba(135, 56, 233,0.7)"
Sloan School of Management,"rgba(236, 80, 183,0.7)"
Engineering Systems Division,"rgba(255, 255, 255, 0.701961)"
Computational and Systems Biology,"rgba(236, 80, 183,0.7)"
School of Science,"rgba(9, 201, 255,0.7)"
Architecture,"rgba(118, 249, 239,0.7)"
Foreign Languages and Literatures,"rgba(135, 56, 233,0.7)"
School of Architecture and Planning,"rgba(118, 249, 239,0.7)"
Political Science,"rgba(135, 56, 233,0.7)"
WHOI,"rgba(236, 80, 183,0.7)"
Institute for Medical Engineering and Science,"rgba(255, 255, 255, 0.701961)"
